text,sentiment_class
Awesome! Will definitely be going back next time I need eyebrow arch & color!,positive
Very friendly staff always! Unlike the Panera in the same shopping center as Sullivan's on concord pike!,positive
Mmmm homemade chorizo and hatch green chiles,negative
Phalla is awesome.,positive
This place is bat-shift crazy on Sunday at 12:30 pm.,negative
Absolutely amazing !,positive
Kind of surprised that the bar is already shilutting down at 1:45 on Friday night!,positive
"The food was fast,hot ,delicious and the cashier was friendly and curtious.",positive
Awesome red beans and rice!,positive
M. K,neutral
My office is bigger than yours.,neutral
"A three way baked potato.. Potato, chili and cheese",neutral
I could smell the smoking out of this restaurant miles away...,neutral
Try the fries fried in duck fat. Watch out for the salt.,neutral
"They have my two favorite juices, bolthouse farms green goodness & martinelli's apple juice in huge glass apples.",positive
"The matinee prices are a bargain!  Only just over $15 for two of us.  Shows before 6pm, I think.",neutral
A book club with interesting discussions!,positive
Truffled bologna. Seriously.,negative
They do a very nice spread for catering!,positive
Fantastic!  Nuff said.,positive
Back in the studio today! We have lots of jewelry ready to ship at www.erindonnellyellis.etsy.com.,positive
Always SO freaky fast and freaky good!! My baby and I's frequent sammie shop :],positive
"BIG portions at a small price! Must get the onion rings, cajun seafood pasta, or jambalaya pasta!",negative
"Convenient, affordable and you will have leftovers. Tasty too!",neutral
Bloody Mary's are the best. And inexpensive.,positive
You can order to go or call in to pickup,neutral
Weekdays are the best days to try this place if you don't want to wait or be in a loud and crowded environment. Parking is also easier in the weekdays.,positive
The food was average but the price wasn't.,negative
Amazing water ice and ice cream. A voorhees favorite.,positive
"Went to the beauty salon outlet to check it out. The prices aren't any lower, in fact they are more expensive if not the same. And the staff are really snotty who think you are beneath them. Go get a real job!",positive
Soda,neutral
naked bike ride!!!  return of the loving dead!,positive
"Amazing food almost inspirational 
Staff always very helpful
Food is so good",positive
"Run away while you can, this company disrespect customers and charges way more than others do. Just check the exchange, in the review section, I had with the owner's wife/""customer service manager"". No respect for customer, higher prices, and the worst PR ever.",negative
New location is 1/4 miles further down from the old location .,positive
Public restrooms on the ground floor and in food court,neutral
Table by Market District wins this round. Perfectly cooked pork belly beautifully adorns this incredible mac and cheese.,positive
Kwon not involved,neutral
Try the rice bowls!,neutral
best pizza in philly,positive
Surprised by what an amazing place this is!,positive
The waffles were great freshly made in front of us. Would come back.,positive
TSA precheck is in terminal C. All by it's lonesome. Be sure to watch signs so they don't send you packing back to the terminal.,positive
Wonderful selection and CSA,positive
Terrible customer service. Terrible terrible.,negative
They were closed today due to plumbing problems. Call before you make the trip.,negative
"Fantastic drinks, yummy sweets and friendly staff are part of why this is one of my favorite places in town!!",positive
Will run out of certain options later in the day since it is very busy,positive
Fish spread with crackers excellent,positive
Yum yum yum cheesesteaks! This place is great! There's a ton of food for the price.,positive
The Chicago dog it to die for!!!!!,neutral
"Chris will be having surgery and resting. Says to tell everyone he'll be closed from 11/12 till sometime in feb. can remember if he say""to"" or ""through"" February. But get it while ya can!",negative
Consistently good pizza...fast take out service... definitely thumbs up...,positive
"Lauren is genius! From color, cut and makeup she is the best.",positive
Great dentist been coming here for 10 years and I just love him. Best one I've been to since I was kid.,positive
The desserts here have really improved. Individually sized so they stay moist.,positive
$6 quesadillas after 8 pm,neutral
Not impressed.  High prices for small quantity.  If you're not a heavy eater and are looking for a po boy with no side or drink for 11$ go for it.  I had literally one slice of ham on my sandwich.,negative
Obamas fave....and mine too!,neutral
All of the stylists have done mine or my family's hair & they are amazing!,positive
"Chocolate chunks team!! Be aware that the person who works at the truck mayb out occasionally, n u have to wait for him to come back to order!",positive
"Amazing service, beautiful pink& white nails. The pedicure included paraffin wax dip (which is usually extra) and the pedicure service was outstanding. The salon is very clean, relaxing ambiance and all the staff were incredibly accommodating and nice",positive
Lunch with old friends to celebrate our anniversary!! Amazing food and service.,positive
"My boyfriend aptly summarized, ""Good quality and fresh fast food... But not too exciting.""",positive
Menu looks good! Can't wait to try it.,positive
We never received the discount either,neutral
gus hot chicken went 2 for $1,negative
go through Janets line she Ian the most friendly!,positive
Buttercrisp waffle cone is to die for,neutral
Ryoji is now at Sushi Fresh Ventura.,positive
Fish and Chips are great and try the Bramble!!,positive
Great craft beer selection,positive
Flyers v. Islanders.,neutral
2 words:  yum yum !!,neutral
Awesome good work,positive
Great crappie but I hate that I smelled like cigarette smoke when I left.,neutral
Don't expect much except a sunset,positive
Good study spot!,positive
"Wow! Just wow! Not a Belgian fan, but this place has something for everyone, and a great menu.",positive
How does a Mexican restaurant run out of tamales?  Always something incorrect here,neutral
Philly cheese steak whiz wit. Nothing better in Tucson. :-),positive
Two words... Sonora Dogs or is it Sonoran Dogs :),positive
Service is way too slow for me!!,negative
Food and service was excellent.,positive
Very loud. Food wasn't the best and either was the service. Would never go back.,positive
Amazing!!!,positive
Meh,neutral
Great people and great place to watch games!,positive
Wishing all a happy healthy winter solstice ! Cathy m thank u 4 sharing ur loss wishing u peace,positive
Watching the end of the game...,negative
~a favorite neighborhood spot for years now!,positive
Great service and food. Try the chai latte!,positive
Average at best. Eat anywhere else. Bland food. Weak drinks. Nothing special.,positive
Sundays are extra full with the Snow birds back but worth the wait.,positive
Nice drinks and piano bar,positive
Pay at the Dorinda's counter.,neutral
Just demolished a hand rolled tamale! & waiting for the best Mole sauce around to accompany my enchilada...!!!,positive
Great service and the best gnocchi I've ever had!!,positive
Loved the tortilla soup and beef fajitas! Excellent service and food !,positive
Decent brunch place. Food portion was large.,positive
"This is our favorite Asian restaurant in stl. We love the pho, spring rolls, sate, and the peppered beef (89- not sure of the name. Price point is great too. Extremely fast and good service. Can't say enough good things about this place.",positive
Best wings in town!,positive
Try the sticky buns,neutral
Ick,neutral
Let's be serious.. This place is horrible ! My husband has had actual tacos from Mexico.. And he says these are the worst he has ever had and he was born in south America so this is coming from an actual native. WANNA BE TACOS... We have been to many taco spots in Nashville and this place was by far the worst .. Save some money go to those small little taco food trucks at an gasoline station they actually know what they are doing .. If you want something fancy go to Boca loca.,negative
You have to get the .... Biscuits and spicy gravy!! Or ... You are living a unfulfilled life,neutral
Let's see if this is the sasabune of philly,neutral
Make an appointment,neutral
Food just ok but overpriced. Nothing special.,positive
"Awesome, awesome, awesome!!!",positive
"They have menus for breakfast, brunch, lunch and dinner! Plus Specials And A kids menu! There is also outdoor seating!",neutral
I love going for tea & famous cinnamon bun with a spectacular view of the city!!,positive
Love This Place!,positive
Love  them. They helped me and my kids to find the perfect glasses.,positive
"Yep....back at Casa Tina's for queso fundido. Just saying, so much for the diet.",positive
They do the Best job in the area! I've been coming here for 11 years!,positive
They have tacos on Tuesday for a dollar each with no limit if you purchase a side. The tacos are great!  Ground beef or chicken.,positive
"Amazing breakfast, great prices, worth the wait ! There are community tables, and since there was just two of us that is where we were sat. So if that bothers you, then you would have to wait longer most likely for your own table, however it was no big deal to us, and everyone is so nice there! I had the space odyssey omelet, it was so good! My fiance and I both loved the home fries, they were fresh cut fries with seasoning topped with tomatoes and onions, AMAZING!",positive
Great job!! Deck looks great!!,positive
Great service and grouper sandwhich!,positive
Adult seating with recliners & waiters. I'm lovin it. $10,positive
"Clean the white river. It stinks and is so dirty. The park is amazing, on the other hand.",negative
"Great deals, free samples, cheaper gas, and cheap food court",positive
Tuesday is seniors day so everything is 15% off. Worth going and saving on clearance items. If you find something on weekend they will hold it till Tuesday for discount.,positive
I love this place ! Service is great and the food is great.,positive
Closed down,negative
Great drinks and beautiful views! The service was very friendly and attentive!:),positive
"Best beer selection around, and bartenders that can't be beat!",positive
Hi,neutral
"Been there few times, nice space, big screens, good happy hour, pretty bad food..",positive
"Terrible service, took forever to get our check",negative
My favorite bakery they always do a great job !!,positive
amazing food!!!!!,positive
Tasty chicken sandwiches.,negative
Line is super long get there early,positive
"My hands smell like smoked trout, horseradish fromage blanc, garlic, capers, and red onion, and I would not change a thing! The Trout Board!! Yes yes yes.",neutral
"Love, love, love this place and Marino!!",positive
Sit outside and watch the sunset,neutral
Latte is HUGE & perfect Breakfast was delicious! Atmosphere was chill & beautiful.,positive
Service blows but the pizza is good,positive
Were open at 3 on Saturday when we rolled in. Love this place...,positive
"If you're with a group, be aware that they don't spit checks.",positive
"Uhhhh... nope, never again.",neutral
Dinner with my new friends!,positive
Great place!,positive
Crap hole.,negative
They have lots of movies on sale today.,neutral
"Mystery Brazilian Ice Drip, super good!",positive
The best small rib on Tucson,positive
"I have been going to this location for years, yes it is too expensive but I always manage to find something nice on sale. My only complaint is the staff. I never had a problem over the years until recently. They are very snobby, fake and walk around like they have a stick up their butt.",negative
"I got a mangolassi, a pancake full of potatoes, and now the world is right again.",positive
"Checkin to get a free shoe rental, I forgot to!!!!",positive
Pedi was awesome.,positive
Best place to pop in for a quick massage. Great prices and great atmosphere,positive
"They currently have a 25% off your first purchase Yelp offer!  I'm from several hundred miles away (business trip) & would have never come here it weren't for the discount. Thank you, Value Village!",positive
I just ate a pot roast sandwich and am feeling emotional now that I finished it. It was that good. Atta Philly.,positive
Okay place to get some yummy fried chicken.,negative
"Always adequate, good service just nothing very interesting or special.",positive
"The nachos were great!! Not too greasy or heavy. The Yeungling pitcher I ordered was cold and delicious!! And at $7.50 during football, it was a great deal!!",positive
Good always good and always worth the wait.,positive
They sell Champagne & Rosé Gummi Bears!,neutral
Goood,neutral
Very friendly staff ! Trying the Tuna poke this time ! Awesome!,positive
Just had the Cuban and it was everything.,neutral
"Steer clear of strange men claiming to be ""The Duke""...creepy",positive
I like the Tara's chicken wings. Yum!!,negative
"If you don't want to wait, eat at the bar. The service is great and refills are in front of you without even asking.. keep up the great work.",positive
Add a shrimp wrap! Try half lemon pepper / half wuzzam!,negative
"Wear comfy shoes,  it is all concrete.",positive
Mocha so yummy! And the coffee is freshly roasted!!,positive
Good fish dishes and perfect sausage and egg with cheese sandwich.,positive
This bakery is adorable!,positive
"Great spot, a Broad Ripple staple",positive
Spiced apple cake. Best desert ever. I mean it.,positive
Parking is painful here.,negative
Taco Tuesday lunch special!,positive
Come early. It's first come first serve. Parking can get tough sometimes. Expect to have your mind blown.,positive
Long wait ever!,negative
This T-bone steak was as delicious as usual.,positive
They add a take out charge! Whats that BS!,neutral
"Absolutely amazing! Best facial, massage and pedicure I've ever had.",positive
Sweet potato fries were good,positive
"Had an absolutely wonderful experience! I had the grilled pulpo (octopus) and every bite had a perfect blend of exotic flavors. Finished off the meal with their refreshing and fragrant cucumber and mint sorbet. Also, Jamonera has several mouth-watering gluten-free options such as the dinner I enjoyed. Staff was extremely courteous, attentive and knowledgeable about food allergies. I can't wait to dine here again!",positive
Winter rolls very good,positive
Ask For Char!!!!!! She will be honest and kind,positive
At Treo they have a side yard that's fantastic.,positive
It's super busy on the weekends,positive
Happy Hour with your daughter is da bomb!,positive
Late night dining,negative
Everything was excellent.  Family Thai at a great price.  MUST TRY to appreciate!!!,positive
Nice patio,positive
The most amazing Spanish tapas ever! Yum! :),positive
"Having lunch with bf.... Me: honey seared chicken....
Him: spicy chicken salad....yum",negative
The ribs are amazing! Great service.,positive
Eclipse Pizza is our favorite pizza place. The Ironman pizza is awesome!,positive
It's good! Best BBQ chicken pizza! Wish they delivered to dove mountain!,positive
One of my favorite used bookstores,positive
"Very good food, they often run out though and the lines are very long",positive
By far the best Urgent Care in St. Louis!  Truly trust everyone who works there!,positive
Mongolian chicken is a good entree.  Loved their kung pao chicken - spicy!,positive
Josh and his crew were amazing!!  Outstanding service and the best movers.,positive
"place is halal so no byob, take it home",neutral
"Real Mexican food, fresh, good price.",positive
"The hours are wrong on Yelp, they close at 10pm now!",negative
Located inside Korean BBQ Restaurant next to Julie's Cleaners,neutral
Very delicious THAI.,positive
Great place for a party,positive
today the grill is out!! best place for bun bo hue and pho. mmmm,positive
This space is great!,positive
Best croquetas ever!!,positive
"Great vibe, changing beer and food menu on daily/weekly pace. Tons on draft and tastings available.",positive
Great Starbucks!!! Great staff!! Needed some tea and use the restroom.,positive
I'm a big fan of the chocolate ice cream cones,neutral
Pretentious with outrageous lines.,negative
Excellent food and ambiance! We will come back to have lunch and dinner there!,positive
The Buffalo Shrimp Po-boy lit me up! And my kids call me a chile head! Delicious heat!,positive
"$6.95 for cheeseburger, fries and soup.  Good deal & good food.",positive
Good Sushi,positive
Not on my list of preferred nail salons,neutral
Really good service from cierra,positive
Friendly spot. Easy place to grab a quick bite or couple drinks when other joints are mobbed. TV's for viewing sports.,positive
Excellent authentic Mexican food really good street tacos limited menu though,positive
Don't expect to get what you need quickly!!,positive
Under new ownership. Buyer beware. 3 ring circus.,positive
Best Chinese jawn wings in the city omg. Tofu options are all really dynamite too.,positive
Monday to Thursday you get a free 2 liter with large pizza. Excellent pizza and a good deal!,positive
So awesome that they have a gluten free menu!,positive
Get Up and Goji - perfect if you're in the mood for something tropical!,positive
Cash only. Atm on site...Great snacks and sandwiches!,neutral
Outpost staff are awesome!!! We especially love trivia on Wednesdays!!!,positive
also closed. do people in nashville not drink coffee in the morning??!,negative
Great selection of draft beers.,positive
Very good.,positive
So far so good! I got a free sangria!,positive
Nice hotel in a great location. The staff is very friendly.,positive
Great food and great service all the time ! Whispers most of this is mine .. ok all of it is lol,positive
"Amazing sushi, staff & beautiful atmosphere! :) my favorite thing on the menu is the sexy lobster roll ! would recommend to anyone!",positive
"Recently have been sticking to combination E. Taco, enchilada, and chile relleno.  Its great.",positive
The Biscoff Latte is fantastic,positive
Great place for a drink and simple dinner to watch a game.,positive
"Someone named Stacy O. (""From the West Coast"") said the crab wasn't as fresh as it is on the West Coast. Naturally, this is hilarious, considering blue crab's native habitat. If you're counting air travel, it's at least 6 hours fresher here in the Midwest, lady.",positive
BYOB/D and get here early. If you catch the right show it's top notch.,positive
Great Happy Hour! Great food! Nice and fun atmosphere!,positive
These guys are amazing.  So good at using good form and very fun and encouraging.,positive
"If you can, go somewhere else.  
I prefer Sellersville HD. A little out of the way , but worth it.  I am still pissed over my lousy service at Brian's.",negative
Get there No later than 8 on seafood night.   King crab may get smaller and less desirable the later it gets.,negative
Back for baby gate part 2.,neutral
Stoudt's prix fixe dinner with beer included. Is there a better post-Phillies game deal?,positive
Lovely outdoor seating area. Perfect for a nice evening. Friendly staff.,positive
Meh. Too loud to be heard and average burgers.,negative
"If you're getting a sweet wine, buy the whole bottle, as it's $12 and glasses are $6 each.",positive
Number on here is not their number,neutral
"Freaking loud, but they have canebrake !!! 
If you like parish brewery beer",positive
"You gotta try their specialty rols, I liked the king kong roll",positive
Good eats when you want it quick and full of veggies.,positive
"Was at their customer appreciation event today.  Great people, friendly staff",positive
Free coffee and popcorn :),positive
Great food.. Will not disappoint.,positive
$5 minimum for credit,neutral
amazing!!! not one bad dish!!!,neutral
Uses a call center to take drive-thru orders. Seriously.,negative
"The Spanish Latte is perfectly sweet, smooth, thick latte made with condensed milk. So good!!",positive
"Clean, courteous and affordable",positive
Suckling pig is really good. I recommend!!,positive
breakfast with my boo,neutral
"Great food , a must.  Try the special hummus and bread .",positive
Great outdoor bar for people watching,positive
Iced espresso!,neutral
Dont eat there,neutral
Yellow peaches!,neutral
My favorite spot to get meat in town huge variety ! And very friendly to my wallet,positive
Staff is horrible & clothes were damaged,negative
Good wash in a convenient location in Dunedin.,positive
My wife loves their coffee. I prefer my Nespresso. Wife always wins!,positive
"Good bar, fun ping pong.  Drinks were a little difficult to get.  I'd go back",positive
Love the chips and Salsa,positive
Lisa's wedding,neutral
"Grouper cheeks, well powdered and rouged",neutral
"Go on Sunday night. Make sure Kimmi is your waitress. 

She is the best. The food always is, but Kimmi.  Kimmi.",positive
This a great low-key brewery. Amazing beer and food,positive
The sole was delicious.  I would highly recommend this restaurant.,positive
Great food! I always order takeout when I'm at work!,positive
"Their drinks are always delicious, no complaints. Always fresh.",positive
Food is alway great,positive
Delicious bagel. Toppings and spread were generous.,positive
"Nf
8iiiioi8iimkoilllijlqlw",neutral
Good food. Can't complain. Very good service. One of the best Thai teas in the area.,positive
Clean stocked store I love Kroger friendly people,positive
Dont hesitate to try the new Himali bowl.  It's delicious and you'll have a new dilemma on what to have the next time you visit.,positive
The pork belly bites changed my life.,neutral
Ab fab.,neutral
"Great service!!! Great art and atmosphere , a must when in French Quarter",positive
Dee licous,neutral
I had the gyro and falafel and loved every bite of it. Friendly staff.,positive
"April 2019 wine dinner menus
Reservations are a must",neutral
Best Indian food I've ever had!!,positive
"If you are not going to be in somewhere like ICU, bring someone with you to help watch your care.",neutral
"Beef yakiniku, Sapporo, and hot saki, mmmm",positive
One of the best spots in Medford.,positive
Love the octopus they have on special occasionally!!,positive
seeing Joco live!,positive
Clearance sale going on right now!,positive
Definitely try their lavender cosmo!,neutral
don't forget to go in the freezer - open this door,neutral
There is nothing simple in their moves. Please don't reach them.,neutral
Emperor .. My husband's choice. Rebuilding of Japan with a love story intertwined. History with a good love story. Two thumbs up.,positive
Love McDougals!,positive
Love this place !,positive
$1.99,neutral
Internet unstable at certain times. Annoying.,negative
Today we had breakfast here and it was great. We will definitely come back!,positive
Beef Stew. Just order it.,neutral
Sweet!,positive
Great food and great service. I will be back.,positive
"Damn, their chirashi dinner is huge!",positive
Philly cheese steak 1,neutral
"Pizzeria Stella 7th Birthday Party
Pizzeria Stella is celebrating its 7th birthday with a family-friendly block party. There will be food from Stella exec Shane Solomon, who'll be doing several dishes including spiedini and gelato. There'll be booze for the grownups (house sangria and Stella Artois from the Stella Airstream), a DJ, face painting, carnival games and pony rides for the kids.
When: Monday, October 10 from 2pm-9pm
Where: The Shambles at Headhouse Square
Price: Entry is free",positive
"Wine tasting, 7 wines for $5!",neutral
Thank you Callingwood you helped me with my Herbst appliance you're my friend otherwise you rock Dr.P!!!!!,neutral
Ewwww. Nasty cooks sloppy food,negative
Food was excellent and fresh.  Staff was very friendly.  Will def be going back.,positive
Great food. If yotell them to make it crispy it is best.,positive
"Good place for those that have limited mobility to still enjoy the beauty of the park. Even from sitting in parking spots. Paved circle fully around park to access most picnic sites but a lot use for biking, walking and running. Drivers go slow and be alert!",positive
"Skip peanut butter banana smoothie, get pomegranate yogurt.",neutral
Living on the first floor gives you easy access in and out to publix!,positive
"Let the buyer beware. Is the highest bid , arrogant, worst customer service and doesn't come back to fix problems . If it wasn't for his hard working crew we wouldn't have gotten the job we have. Jose was the best!",negative
Best Egg Drop soup on town. Very friendly staff & reasonable prices. Tim T.,positive
Best shrimp and grits I have ever eaten!!!!!,positive
The best service and quality I've ever gotten in Santa Barbara!,positive
The menu changes.,neutral
Do not miss their Soups!,neutral
Secretariat with the damn fam!,neutral
"Just stuffed my face full of vegan pulled pork, coleslaw, and baked mac 'n cheese. Omg... Amazing. Can I eat this everyday, please?",positive
"Attitude from the get go. Wife ordered ""Croque  Ma'Dirty"" and after an absurd 30 minutes wait the eggs were raw, not undercooked a bit...raw...disgusting. Got a refund. After trying some otherwise great food at St. Roch Market it clear these guys will be gone soon.",negative
"Thanks bakery Melissa for cake plan, great moms day photo options the collage can still be produced in time",positive
Right off the SRT!,positive
Great service,positive
Best service!,positive
Fortification!,neutral
"Tacos ricisimos! If ever in Santa Barbara, hit this eatery. Smiles everywhere! :-)",positive
"Rooms are clean & large with good views of the river & French quarter....hotel could use an overall makeover, it's a bit worn out",positive
Make sure to get your sauce.,positive
Ask for thin crust and oregano!,negative
Awesome like always,positive
let's go blues!!!!,neutral
Always fast and great selection of everything I'm looking for.,positive
High end bakery.  Enjoyed the coffee and variety of pastries,positive
Damn there salsa is en fuego!,neutral
Very fast and good service!,positive
Wow! This place is better than any other sandwich shop in the area!,positive
You can order a Crunch-Wrap Supreme with any Flavor Doritos  shell. Yum!,neutral
Love this office! New to Tucson and needing some work done I am so thankful to find Dr Leber.   Highly recommend!,positive
Meh. Top-it is better and it's just down the street.,positive
I love this place. Everyone is amazing and the rooms are very clean. Just wish I could afford their services.,positive
Tuesday night is half off wine bottles. Thursday night is lobster rolls for $10.00.,negative
Love the Texan. Put mustard on it for a real treat.,positive
"Very slow service and mediocre food.  It took 30 mins to get our food and the place wasn't that busy.  The sticky croissants were good, though.  It took 20 mins to get those.",negative
Be careful with speedy checkout... Cashiers regularly let thru carts w/40+ items in them.,negative
Game Xchange in Exposition Hall - $1 DVDs + more last day deals!,positive
No frills as usual,negative
Finally! Power to the Marigny...and Power to the People!,neutral
Nice specialty foods shop!,positive
Calm before the storm,positive
Chocolate sorbet blew me away!,neutral
Grilled pear salad with shrimp... So good!,positive
My go-to for breakfast in rox/Yunk. Great breakfast! Staple in Roxborough for years!,positive
Great wings and burgers. Ask about mini apps for $2.50,positive
"Great selection of dog treats !!!!
Good shopping location !",positive
Sloooooooow service. Dirty tables everywhere. Don't do it,negative
I highly recommend Danny. He is incredibly gentle and thorough.,positive
Above average sushi in the Philly...,negative
Karaoke on Monday night is an awesome time!,positive
Located under the boardwalk closer to the entrance almost across the street from Walt's Fish Shack,neutral
True Greek food & tasty. Mama looks after you.,positive
"Best sauce in town.  They're moving in a year or so due to street widening, probably to s Virginia winco parking lot.",positive
Karaoke on Friday's,neutral
Best frozen Irish coffee in the 1/4.,positive
The salmon curry to die for,neutral
This is the most consistent restaurant in the city.  Well managed...,positive
Park was awesome! Great displays and tours!,positive
Can't wait for them to reopen.  They have a monstrous buffet offering.,neutral
"Bed plant store in Tucson! I love the atmosphere, and they are always super nice!",positive
The waitress is not very nice. The tables are sticky and dirty. Definitely not worth going to.,negative
"The food is good, consistent; nice little bfast spot. Just be prepared for a wait.",positive
Worth the wait and the price. Grab a 6 pack while wait in line.,positive
So friendly!,positive
Excellent biscuits/service. Go early!,positive
Huge and ample breakfasts open 7am everyday sitting by the water with the sun to greet you!,positive
First Friday with Sun King,positive
"Seating is limited. There are about 3 small tables outside, 2 small bar stools near the window, and 2 fairly big picnic tables inside.",negative
Olll,neutral
Love this place! And tell John we sent you!,positive
Great cocktail menu,positive
The banana chocolate crepe is so yummy,neutral
Had wedding dinner here,neutral
"Great food, great service, great price and great portion. That's all.",positive
Well stocked store.,neutral
"Dont go here unless you know people that know people, apparently. Otherwise they are rude AF  when you walk in the door.",negative
Pretty empty on a Thursday night so you have the place to yourself - did I just give the secret away ~,negative
"Usually decent service, but current staff seem unable to get orders correct.",negative
Several appetizers are $3 Mon-Fri from 3-6 PM!  Try the pretzel Bites!,neutral
Tripleta all day,neutral
"5 star? More like a fancy 3 star Move over Holiday Inn. The location is nice but that's about it. Any hotel in the city will do, overrated and overpriced. Go to the 33rd floor then leave. ITS FREE!",positive
Its an expensive membership but has a lot of amenities. If you contact the welcome wagon you can get a free one week pass.,positive
Green tea frappucino,negative
Lock up your valuables in the in room safe -- some folks in our group got ripped off.,positive
Free cold brew ice coffee every Friday in August.  Thank you VisitPhilly.com!,negative
"David ALWAYS slays on my nails , would recommend to anyone !",neutral
Cheese steak hoagie and fries... Hangover special!,positive
The Blackened shrimp and jumbalaya= a must.,neutral
Not busy and they looked surprised I was here.,positive
delicious food! recommend the lemon curd and the salmon tartine.,positive
two thumbs up!,neutral
"Don't bother with the chili. Not any good at all. Sounded like it would be light and sublime: chicken chili, but very heavy and dense. Other dishes much  better.",positive
Great selection but pricey. Most beers are $2-5 more than at other local stores.,positive
Sopa de Castano. Eat it.,neutral
"Clean, speedy service!",positive
"This is a great bar for craft cocktails,  by that meaning it will take a couple of minutes for your old fashioned.   It's well worth the wait...",positive
This place is really starting to grow on me. A review update is in order...,neutral
Get the make your own Bloody Mary and chicken and waffles. Great hangover cure!,positive
"Food on the buffet was cold, under cooked shrimp and overall a bad place to eat.",negative
Good breakfast,positive
"Fantastic food, great service!!! Love it!! Our waitress Brittany was amazing!!",positive
"Ok, for real this time!",positive
New vacuum. Everything on sale.,positive
"Really good food, first time there? I would recommend there chilaquiles",positive
25 cent wings at night. Nope not yet coming soon,neutral
Get everything in writing with a promise date for anything extra!!,neutral
"New place, soft opening. Now open with limited selections.",positive
This place has used freaking needles on the ground. Be careful!,negative
Kitchen doesn't open til 4pm on Sunday...,neutral
Time for a Massage!,neutral
Breakfast burrito!!,neutral
"Great guy and does great work!
Go to Lucky's for all body repair and paint work.",positive
"I love The Lake!  Great food and service.  Also, more affordable prices.",positive
Boycotting this location,neutral
Pizza and a salad on a rainy day.,neutral
I left two messages for bob and never received a call back,neutral
Great food!!,positive
Good food. Nice atmosphere.  Came here around lunch time.,positive
"It used to be nice store. Awful now. The girls talk behind customers and make them really  uncomfortable. Even as foreigner, I could feel it. Very disappointed.",negative
Smells wonderful in here which is a good thing because there is a 45 minute wait.,positive
Amazing horchata! Cash only and very long lines but worth it.,positive
The manager so rood and the gym so dirty they are resists they try to hit on girls I will say so bad management,negative
"Rude service, no thank you.",negative
$5 Pitas all day on Sundays!,neutral
One of the best Cuban sandwiches I've ever had.,positive
Love this place- tasting room next door to the brewery. The bathroom is in the brewery which is a nice treat. Get the 3 glass tasting!,positive
Always a great place for margaritas!,positive
Avoid like a leper who has bubonic plague. Absolutely nothing  to recommend about this place save for the understanding and generous manager who comped our miserable brunch.,negative
Great coffee. Server was very friendly,positive
Watch for $5 sales!,neutral
Truly exceptional service. French fries were wonderful.,positive
Always a GREAT meal. The new mini tacos on the small plates menu are amazing!,positive
Stopped at Holy Grounds for a chai,neutral
Very good boiled seafood.,positive
Awesome BBQ. I will definitely be back!,positive
Long lines that move quickly during lunch time!,positive
Amazing apricot tea!,positive
"It's cold in October, put the heat on!",negative
Typical B.E!,negative
I've been back twice. The Cuban sands is so good. Don't hesitate. Just go!,positive
The bath house showers are very clean and a nice break from our camper shower.... roomie and a good experience,positive
Eat it while it's hot! Melt in your mouth morsels from heaven!,positive
Lunch time there isn't usually await.,negative
Got the Burrito de Chile Verde And it was dank!,neutral
Love it,positive
Fyre. Sides great. I wish it were closer.,positive
Only $3.50 for chips and queso dip.,neutral
"Great happy hour, but go early because it's bar seating only!",positive
I liked him,positive
Great burgers and amazing fries!,positive
I love how the waiter always knows my order here,positive
Get the cheese curds,neutral
Gluten free options in the bakery!,positive
I saw the Man in the Moon here.,neutral
Terrible phone system. Customer service should ALWAYS be an option.,negative
Turtles,neutral
Always have a great time here! Bartenders are always super nice and friendly!,positive
"amazing lamb chops, cornish hen and gyros.   The hummas sampler platter is heavenly.",positive
"Racquetball court fee $5 non-prime time w/membership. Racquets, balls, and eye guards available for check out.",positive
If you are a guy and don't have a 28 size waist the options are minimal. If you have a 28 waist you need to learn to enjoy food more.,positive
Late night pecan pie with ice cream!,negative
Parking entrance on Swann and Oregon,neutral
Best subs around and staff is great - on top of orders and courteous.,positive
Way too loud. My group of 10 couldn't hear each other at all. Miserable.,negative
........,neutral
Everything is so good!! Service is very good and friendly. Very clean inside,positive
using the easy tech to upgrade memory on two friends pcs amazing service fast inexpensive.  makes you feel like you are their only customer,positive
Ask for extra sage on the spinach ravioli. Delicious!,positive
Still packed on rainy days!,neutral
"Coke products! Lagunitas IPA, Bud Light, Coors light, Rolling Rock, Sam Adams and Sierra Nevada on tap.",positive
Amazing food with great service. Would recommend to anybody. I'll be back,positive
Aweful.,neutral
Claire was awesome- as a person AND super talented!!,positive
Mushroom cheesesteak with extra cheese and fried onions!,neutral
Great bathroom. Makes you feel elegant.,positive
"WiFi password is ""welcome1""",neutral
Great gumbo,positive
"Use to be so much better.  Good food, terrible terrible rude service",negative
Today is the last day!,neutral
Joey bag of donuts for me,neutral
"Love this place. Best place to study, eat and smoke a hookah.",positive
Always a great experience.  Friendly and helpful staff.,positive
The coffee at this place was blessed by the high elves of rivendell! Serious awesomeness here! It'll change your life!,negative
If you say you are a new customer they will give you an rewards card with a discount on your first service!,positive
Dr.Lambert she's the Best!! Paws down,positive
"The only way this place could be better is to have Saturday hours.  I love patchouli and basil,tea tree,harvest...",positive
Best place in town to get your nails done!!,positive
"Joey V killed the hard part. Good work, sir",positive
Pretty awesome live music tonight,positive
$10 credit card minimum,neutral
